name,platform,year_of_release,gendre,publisher,developer,rating
Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998,Adventure,Sega,,
Batman & Robin,PS,1998,Action,Acclaim Entertainment,,
X-Men: Children of the Atom,PS,1998,Fighting,Acclaim Entertainment,,
Dragonseeds,PS,1998,Action,Jaleco,,
Lode Runner 3-D,N64,1998,Action,Infogrames,,
GT64 Championship Edition,N64,1998,Racing,Ocean,,
Milo's Astro Lanes,N64,1998,Sports,Interplay,,
Jeopardy!,N64,1998,Misc,GameTek,,
Virtual Pool 64,N64,1998,Sports,Crave Entertainment,,
Option Tuning Car Battle,PS,1998,Racing,MTO,,
Shadow Tower,PS,1998,Role-Playing,From Software,,
Neo Atlas,PS,1998,Strategy,ArtDink,,
Langrisser V: The End of Legend,SAT,1998,Strategy,NCS,,
Populous: The Beginning,PS,1998,Strategy,Electronic Arts,,
World Cup '98 France: Road to Win,SAT,1998,Sports,Sega,,
Pro Yakyuu Greatest Nine 98,SAT,1998,Sports,Sega,,
Brigandine: The Legend of Forsena,PS,1998,Strategy,Atlus,,
Sound Novel Machi,SAT,1998,Adventure,ChunSoft,,
Hello Kitty's Cube Frenzy,PS,1998,Puzzle,Culture Publishers,,
Golden Nugget 64,N64,1998,Misc,Electronic Arts,,
Robotron 64,N64,1998,Shooter,GT Interactive,,
V-Rally Edition 99,N64,1998,Racing,Infogrames,,
Invasion From Beyond,PS,1998,Shooter,GT Interactive,,
Theme Hospital,PS,1998,Strategy,Electronic Arts,,
Wreckin Crew,PS,1998,Racing,Telstar,,
S.C.A.R.S,PS,1998,Racing,Ubisoft,,
Godzilla Generations,DC,1998,Action,Sega,,
Derby Stallion 98,SNES,1998,Sports,ASCII Entertainment,,
Slayers Royal,PS,1998,Role-Playing,Kadokawa Shoten,,
R/C Stunt Copter,PS,1998,Simulation,Interplay,,
Black/Matrix,SAT,1998,Strategy,NEC Interchannel,,
NHL Breakaway 99,N64,1998,Sports,Acclaim Entertainment,,
Iggy's Reckin' Balls,N64,1998,Racing,Acclaim Entertainment,,
Knife Edge: NoseGunner,N64,1998,Shooter,Mitsui,,
Wetrix,N64,1998,Puzzle,Ocean,,
Real Robots Final Attack,PS,1998,Shooter,Banpresto,,
Auto Destruct,PS,1998,Action,Electronic Arts,,
Deep Fear,SAT,1998,Adventure,Sega,,
Slayers Royal 2,SAT,1998,Role-Playing,Kadokawa Shoten,,
No One Can Stop Mr. Domino!,PS,1998,Misc,JVC,,
Dragon Force II: Kamisarishi Daichi ni,SAT,1998,Strategy,Sega,,
Monkey Hero,PS,1998,Action,Take-Two Interactive,,
Wizardry: Llylgamyn Saga,PS,1998,Role-Playing,Locus,,
Uprising X,PS,1998,Action,3DO,,
NOëL: La Neige,PS,1998,Adventure,Pioneer LDC,,
Roll Away,PS,1998,Puzzle,Sony Computer Entertainment,,
Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,,
Vanguard Bandits,PS,1998,Strategy,Human Entertainment,S-Neo,T
Blast Radius,PS,1998,Action,Psygnosis,,
Super Robot Spirits,N64,1998,Fighting,Banpresto,,
Circuit Breakers,PS,1998,Racing,Mindscape,,
OverBlood 2,PS,1998,Action,Evolution Games,,
Power Pro GB,GB,1998,Sports,Konami Digital Entertainment,,
Destrega,PS,1998,Fighting,Sony Computer Entertainment,,
C: The Contra Adventure,PS,1998,Shooter,Konami Digital Entertainment,,
Ojyousama Express,PS,1998,Strategy,Media Works,,
July,DC,1998,Adventure,Fortyfive,,
GunGriffon II,SAT,1998,Simulation,ESP,,
R-Types,PS,1998,Shooter,Virgin Interactive,,
Tokimeki no Houkago,PS,1998,Misc,Konami Digital Entertainment,,
PenPen TriIceLon,DC,1998,Racing,Infogrames,,
Mike Piazza's Strike Zone,N64,1998,Sports,GT Interactive,,
Bust-A-Move '99,N64,1998,Puzzle,Acclaim Entertainment,,
Star Soldier: Vanishing Earth,N64,1998,Shooter,Hudson Entertainment,,
Olympic Hockey 98,N64,1998,Sports,GT Interactive,,
Penny Racers,N64,1998,Racing,THQ,,
S.C.A.R.S,N64,1998,Racing,Ubisoft,,
Virtual Chess 64,N64,1998,Misc,Titus,,
Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,Fighting,SNK,,
Burning Rangers,SAT,1998,Platform,Sega,,
